type,readsGB,expected_value,Depth median,AE,RAE
K-mer,0.01,0.5931262832287137,0.0,0.5931262832287137,1.0
K-mer,0.015,0.8896894248430707,0.0625,0.8409782467376868,0.9452492333333333
K-mer,0.02,1.1862525664574275,0.0625,1.1237525664574275,0.9473130750000001
K-mer,0.025,1.4828157080717843,0.875,0.6078157080717843,0.40990644
K-mer,0.03,1.7793788496861414,1.0,0.7793788496861414,0.4380061333333333
K-mer,0.035,2.0759419913004984,1.0,1.0759419913004984,0.5182909714285715
K-mer,0.04,2.372505132914855,1.0,1.372505132914855,0.5785046
K-mer,0.045,2.669068274529212,1.0625,1.606568274529212,0.6019210111111111
K-mer,0.05,2.9656314161435686,1.25,1.7156314161435686,0.5785046
K-mer,0.055,3.2621945577579257,1.5,1.7621945577579257,0.5401868363636364
K-mer,0.06,3.5587576993722827,1.9375,1.6212576993722827,0.45556844166666666
K-mer,0.065,3.8553208409866393,2.0,1.8553208409866393,0.4812364307692307
K-mer,0.07,4.151883982600997,2.0625,2.089383982600997,0.5032375642857143
K-mer,0.075,4.448447124215353,2.0,2.4484471242153534,0.5504049066666666
K-mer,0.08,4.74501026582971,2.125,2.62001026582971,0.5521611375000001
K-mer,0.085,5.041573407444067,2.3125,2.7290734074440666,0.5413138294117646
K-mer,0.09,5.338136549058424,2.75,2.588136549058424,0.48483895555555556
K-mer,0.095,5.634699690672781,3.0625,2.5721996906727806,0.45649277368421054
K-mer,0.1,5.931262832287137,3.0,2.9312628322871372,0.49420551999999995
K-mer,0.105,6.227825973901495,3.0625,3.1653259739014947,0.5082553666666666
K-mer,0.11,6.524389115515851,3.125,3.3993891155158513,0.5210279545454546
K-mer,0.115,6.820952257130208,3.25,3.570952257130208,0.5235269391304347
K-mer,0.12,7.117515398744565,3.5,3.6175153987445654,0.5082553666666667
K-mer,0.125,7.414078540358922,3.9375,3.476578540358922,0.468915796
K-mer,0.13,7.710641681973279,3.9375,3.7731416819732786,0.4893421115384615
K-mer,0.135,8.007204823587635,4.0,4.007204823587635,0.5004498962962962
K-mer,0.14,8.303767965201994,4.0625,4.241267965201994,0.5107642678571429
K-mer,0.145,8.60033110681635,4.1875,4.41283110681635,0.5131001413793104
K-mer,0.15,8.896894248430707,4.3125,4.584394248430707,0.51528029
K-mer,0.155,9.193457390045063,4.4375,4.755957390045063,0.5173197838709678
K-mer,0.16,9.49002053165942,4.6875,4.80252053165942,0.506060078125
K-mer,0.165,9.786583673273777,5.125,4.6615836732737765,0.47632389696969696
K-mer,0.17,10.083146814888133,5.125,4.958146814888133,0.4917261352941176
K-mer,0.175,10.379709956502492,5.1875,5.1922099565024915,0.5002268828571429
K-mer,0.18,10.676273098116848,5.4375,5.238773098116848,0.4906930583333333
K-mer,0.185,10.972836239731205,5.375,5.597836239731205,0.5101539945945945
K-mer,0.19,11.269399381345561,5.875,5.394399381345561,0.4786767421052632
K-mer,0.195,11.565962522959918,6.0,5.565962522959918,0.4812364307692307
K-mer,0.2,11.862525664574274,6.0625,5.8000256645742745,0.48893682749999995
K-mer,0.21,12.45565194780299,6.25,6.2056519478029895,0.49821976190476186
K-mer,0.22,13.048778231031703,6.5625,6.486278231031703,0.49707935227272726
K-mer,0.23,13.641904514260416,6.8125,6.829404514260416,0.5006195804347826
K-mer,0.24,14.23503079748913,7.125,7.110030797489131,0.4994742125
K-mer,0.3,17.793788496861414,9.0,8.793788496861414,0.49420552
mapping_MapQ00,0.01,0.5931262832287137,1.0625,0.46937371677128625,0.7913554500000001
mapping_MapQ00,0.015,0.8896894248430707,1.0625,0.17281057515692932,0.19423696666666662
mapping_MapQ00,0.02,1.1862525664574275,1.1875,0.30390785403589216,0.256191525
mapping_MapQ00,0.025,1.4828157080717843,1.8125,0.5107401824551348,0.34443942000000005
mapping_MapQ00,0.03,1.7793788496861414,2.0,0.22062115031385865,0.1239877333333333
mapping_MapQ00,0.035,2.0759419913004984,2.0,0.07594199130049839,0.03658194285714295
mapping_MapQ00,0.04,2.372505132914855,2.25,0.4362525664574275,0.18387844999999997
mapping_MapQ00,0.045,2.669068274529212,2.75,0.415465862735394,0.1556595111111111
mapping_MapQ00,0.05,2.9656314161435686,2.875,0.15077643789232353,0.050841260000000055
mapping_MapQ00,0.055,3.2621945577579257,3.125,0.32164591831844425,0.09859801818181817
mapping_MapQ00,0.06,3.5587576993722827,3.125,0.544068274529212,0.15288151666666666
mapping_MapQ00,0.065,3.8553208409866393,3.5625,0.4555848948766701,0.11817042307692309
mapping_MapQ00,0.07,4.151883982600997,4.0625,0.19539848477587218,0.047062607142857225
mapping_MapQ00,0.075,4.448447124215353,4.0625,0.4548912336884342,0.10225843333333336
mapping_MapQ00,0.08,4.74501026582971,4.375,0.5612525664574275,0.11828268749999998
mapping_MapQ00,0.085,5.041573407444067,4.5625,0.5988767315135582,0.11878766470588228
mapping_MapQ00,0.09,5.338136549058424,5.0625,0.44110241179381804,0.08263228333333335
mapping_MapQ00,0.095,5.634699690672781,5.25,0.6466873066704879,0.11476872631578947
mapping_MapQ00,0.1,5.931262832287137,5.5625,0.5625,0.09483646500000001
mapping_MapQ00,0.105,6.227825973901495,5.8125,0.5118477271638079,0.08218722380952384
mapping_MapQ00,0.11,6.524389115515851,5.9375,0.6463404760763699,0.09906528636363635
mapping_MapQ00,0.115,6.820952257130208,6.3125,0.620357096423828,0.09094875217391303
mapping_MapQ00,0.12,7.117515398744565,6.625,0.6028259739014947,0.08469612500000002
mapping_MapQ00,0.125,7.414078540358922,7.0,0.5605589052691915,0.07560735999999998
mapping_MapQ00,0.13,7.710641681973279,7.125,0.6941510512332991,0.09002506923076921
mapping_MapQ00,0.135,8.007204823587635,7.375,0.6322048235876352,0.07895449629629622
mapping_MapQ00,0.14,8.303767965201994,7.75,0.6407969695517444,0.07716942142857151
mapping_MapQ00,0.145,8.60033110681635,8.0625,0.6377483301122626,0.07415392758620694
mapping_MapQ00,0.15,8.896894248430707,8.25,0.711335343161515,0.07995322
mapping_MapQ00,0.155,9.193457390045063,8.375,0.9192752162894304,0.09999232903225808
mapping_MapQ00,0.16,9.49002053165942,8.6875,0.8662679652019925,0.09128199062499998
mapping_MapQ00,0.165,9.786583673273777,9.125,0.7149377549553324,0.07305284242424237
mapping_MapQ00,0.17,10.083146814888133,9.4375,0.8748601111660999,0.08676459117647052
mapping_MapQ00,0.175,10.379709956502492,9.6875,0.8472824673768686,0.0816287228571429
mapping_MapQ00,0.18,10.676273098116848,9.9375,0.9447048235876361,0.08848638611111113
mapping_MapQ00,0.185,10.972836239731205,10.25,0.7364181198656023,0.06711283243243243
mapping_MapQ00,0.19,11.269399381345561,10.375,0.8943993813455613,0.07936531052631576
mapping_MapQ00,0.195,11.565962522959918,10.6875,0.9327172075899282,0.08064328461538457
mapping_MapQ00,0.2,11.862525664574274,11.25,0.6812628322871372,0.057429829999999966
mapping_MapQ00,0.21,12.45565194780299,11.5,1.0236954543276158,0.08218722380952384
mapping_MapQ00,0.22,13.048778231031703,11.9375,1.1112782310317026,0.08516339318181816
mapping_MapQ00,0.23,13.641904514260416,12.625,1.0616664499778639,0.0778239173913043
mapping_MapQ00,0.24,14.23503079748913,13.125,1.2056519478029895,0.08469612500000001
mapping_MapQ00,0.3,17.793788496861414,16.6875,1.2828413726460601,0.07209489833333335
mapping_MapQ30,0.01,0.5931262832287137,1.125,0.5318737167712863,0.8967293000000001
mapping_MapQ30,0.015,0.8896894248430707,1.0625,0.17281057515692932,0.19423696666666662
mapping_MapQ30,0.02,1.1862525664574275,1.0625,0.22547099565024906,0.19006997499999997
mapping_MapQ30,0.025,1.4828157080717843,1.625,0.5042960729820539,0.34009356
mapping_MapQ30,0.03,1.7793788496861414,1.9375,0.2555435065246263,0.1436138833333333
mapping_MapQ30,0.035,2.0759419913004984,2.0,0.07594199130049839,0.03658194285714295
mapping_MapQ30,0.04,2.372505132914855,2.125,0.40437884968614124,0.17044382499999997
mapping_MapQ30,0.045,2.669068274529212,2.3125,0.5634006029484545,0.21108512222222225
mapping_MapQ30,0.05,2.9656314161435686,2.75,0.2671842919282157,0.09009356000000004
mapping_MapQ30,0.055,3.2621945577579257,3.0,0.26219455775792566,0.08037367272727271
mapping_MapQ30,0.06,3.5587576993722827,3.125,0.544068274529212,0.15288151666666666
mapping_MapQ30,0.065,3.8553208409866393,3.125,0.7664906307399795,0.19881370769230766
mapping_MapQ30,0.07,4.151883982600997,3.5,0.7578984847758722,0.1825432714285715
mapping_MapQ30,0.075,4.448447124215353,3.75,0.6984471242153534,0.15700920000000002
mapping_MapQ30,0.08,4.74501026582971,4.0625,0.7462576993722825,0.15727209374999998
mapping_MapQ30,0.085,5.041573407444067,4.1875,0.9738767315135582,0.19316920588235287
mapping_MapQ30,0.09,5.338136549058424,4.375,1.045869480426121,0.19592407777777782
mapping_MapQ30,0.095,5.634699690672781,5.0,0.7260247680045855,0.12884888421052632
mapping_MapQ30,0.1,5.931262832287137,5.125,0.8234471242153529,0.13883166999999996
mapping_MapQ30,0.105,6.227825973901495,5.125,1.1993477271638078,0.1925788761904762
mapping_MapQ30,0.11,6.524389115515851,5.5,1.0243891155158513,0.1570092
mapping_MapQ30,0.115,6.820952257130208,5.625,1.195952257130208,0.1753350869565217
mapping_MapQ30,0.12,7.117515398744565,6.125,0.9925153987445654,0.13944689166666668
mapping_MapQ30,0.125,7.414078540358922,6.25,1.164078540358922,0.1570092
mapping_MapQ30,0.13,7.710641681973279,6.4375,1.2731416819732786,0.16511488076923073
mapping_MapQ30,0.135,8.007204823587635,6.875,1.1322048235876352,0.1413982592592592
mapping_MapQ30,0.14,8.303767965201994,7.0,1.3037679652019936,0.1570092000000001
mapping_MapQ30,0.145,8.60033110681635,7.25,1.4002897184643064,0.16281811724137937
mapping_MapQ30,0.15,8.896894248430707,7.4375,1.4593942484307068,0.16403412333333336
mapping_MapQ30,0.155,9.193457390045063,7.625,1.5684573900450633,0.17060582580645162
mapping_MapQ30,0.16,9.49002053165942,7.875,1.61502053165942,0.17018093124999994
mapping_MapQ30,0.165,9.786583673273777,8.3125,1.4740836732737765,0.15062290606060602
mapping_MapQ30,0.17,10.083146814888133,8.75,1.3331468148881331,0.1322153529411764
mapping_MapQ30,0.175,10.379709956502492,8.8125,1.5672099565024915,0.15098783714285718
mapping_MapQ30,0.18,10.676273098116848,9.0625,1.654238960852242,0.15494535833333334
mapping_MapQ30,0.185,10.972836239731205,9.25,1.7228362397312047,0.15700920000000002
mapping_MapQ30,0.19,11.269399381345561,9.4375,1.8318993813455613,0.16255519210526315
mapping_MapQ30,0.195,11.565962522959918,9.75,1.815962522959918,0.15700919999999996
mapping_MapQ30,0.2,11.862525664574274,10.25,1.6125256645742745,0.13593442999999994
mapping_MapQ30,0.21,12.45565194780299,10.375,2.0806519478029895,0.16704480476190478
mapping_MapQ30,0.22,13.048778231031703,10.9375,2.1112782310317026,0.16179892045454544
mapping_MapQ30,0.23,13.641904514260416,11.5,2.141904514260416,0.15700919999999996
mapping_MapQ30,0.24,14.23503079748913,12.0,2.235030797489131,0.15700920000000002
mapping_MapQ30,0.3,17.793788496861414,14.9375,2.8562884968614135,0.1605216616666667
