50bp,100bp,150bp,200bp,300bp,type
0.15789473684210525,0.16666666666666666,0.1,0.05,0.15,count
0.05263157894736842,0.05263157894736842,0.15,0.2631578947368421,0.21052631578947367,count
0.05555555555555555,0.05,0.2,0.1,0.2,count
0.2631578947368421,0.05,0.21052631578947367,0.15789473684210525,0.25,count
0.15789473684210525,0.3684210526315789,0.10526315789473684,0.2,0.45,count
0.2631578947368421,0.2631578947368421,0.10526315789473684,0.35,0.1,count
0.11764705882352941,0.05263157894736842,0.21052631578947367,0.3157894736842105,0.25,count
0.0,0.10526315789473684,0.3157894736842105,0.2,0.2,count
0.05263157894736842,0.1,0.25,0.05,0.2,count
0.2777777777777778,0.3,0.3157894736842105,0.15,0.25,count
0.0,0.0,0.25,0.1,0.3,count
0.05,0.10526315789473684,0.05,0.15,0.2,count
0.2,0.15,0.3157894736842105,0.15,0.25,count
0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.10526315789473684,count
0.05263157894736842,0.2,0.15,0.05,0.1,count
0.23529411764705882,0.0,0.3157894736842105,0.0,0.25,count
0.05263157894736842,0.10526315789473684,0.2631578947368421,0.05,0.2,count
0.05263157894736842,0.2,0.1,0.10526315789473684,0.05,count
0.1,0.0,0.2,0.3,0.1,count
0.10526315789473684,0.15,0.15,0.05263157894736842,0.25,count
0.0,0.10526315789473684,0.05,0.2631578947368421,0.2631578947368421,count
0.1875,0.2,0.2631578947368421,0.3157894736842105,0.15,count
0.2222222222222222,0.0,0.15,0.21052631578947367,0.15,count
0.05263157894736842,0.25,0.21052631578947367,0.15,0.15789473684210525,count
0.05555555555555555,0.05,0.25,0.3,0.05,count
0.0,0.05,0.1,0.15,0.25,count
0.3157894736842105,0.3,0.1,0.1,0.1,count
0.0,0.3333333333333333,0.10526315789473684,0.2,0.15789473684210525,count
0.16666666666666666,0.2777777777777778,0.2222222222222222,0.2631578947368421,0.2,count
0.16666666666666666,0.15,0.2,0.25,0.05,count
0.05263157894736842,0.0,0.0,0.25,0.15,count
0.2222222222222222,0.16666666666666666,0.35,0.4,0.15,count
0.16666666666666666,0.21052631578947367,0.15,0.15,0.2631578947368421,count
0.0,0.21052631578947367,0.15,0.1,0.05,count
0.3333333333333333,0.05263157894736842,0.15,0.05263157894736842,0.15,count
0.2222222222222222,0.15,0.15789473684210525,0.4,0.1,count
0.5263157894736842,0.2631578947368421,0.10526315789473684,0.1,0.25,count
0.0,0.05263157894736842,0.05,0.15,0.3,count
0.21052631578947367,0.0,0.15,0.0,0.35,count
0.3,0.35,0.2222222222222222,0.2,0.45,count
0.2222222222222222,0.2631578947368421,0.2,0.25,0.0,count
0.3333333333333333,0.15,0.15,0.10526315789473684,0.15,count
0.05263157894736842,0.10526315789473684,0.05555555555555555,0.2222222222222222,0.15789473684210525,count
0.25,0.25,0.2,0.1,0.3,count
0.2777777777777778,0.2631578947368421,0.21052631578947367,0.15,0.3,count
0.05263157894736842,0.15,0.3157894736842105,0.4,0.2631578947368421,count
0.0625,0.05,0.15,0.15789473684210525,0.25,count
0.05263157894736842,0.21052631578947367,0.15789473684210525,0.3,0.2,count
0.11764705882352941,0.15,0.25,0.25,0.1,count
0.0,0.15,0.10526315789473684,0.3,0.2631578947368421,count
0.3,0.1,0.3,0.2631578947368421,0.10526315789473684,count
0.0,0.25,0.05263157894736842,0.05,0.1,count
0.0,0.1,0.10526315789473684,0.1,0.05,count
0.0,0.05263157894736842,0.15,0.15789473684210525,0.1,count
0.0,0.05263157894736842,0.3157894736842105,0.25,0.05,count
0.15789473684210525,0.2,0.05,0.2,0.2222222222222222,count
0.16666666666666666,0.15789473684210525,0.05,0.3157894736842105,0.25,count
0.0,0.1,0.15789473684210525,0.1,0.15,count
0.3157894736842105,0.0,0.15789473684210525,0.15789473684210525,0.15,count
0.2222222222222222,0.1111111111111111,0.21052631578947367,0.2,0.0,count
0.3333333333333333,0.3,0.10526315789473684,0.15,0.15,count
0.15,0.21052631578947367,0.10526315789473684,0.05,0.21052631578947367,count
0.21052631578947367,0.05,0.1,0.10526315789473684,0.05263157894736842,count
0.05555555555555555,0.2631578947368421,0.05,0.21052631578947367,0.0,count
0.1111111111111111,0.21052631578947367,0.25,0.05,0.21052631578947367,count
0.0,0.21052631578947367,0.0,0.1,0.1,count
0.10526315789473684,0.0,0.2,0.15789473684210525,0.21052631578947367,count
0.0,0.15789473684210525,0.15,0.15789473684210525,0.10526315789473684,count
0.05263157894736842,0.1,0.15,0.25,0.2,count
0.1,0.05,0.15789473684210525,0.05,0.2,count
0.0,0.10526315789473684,0.2,0.3,0.25,count
0.3,0.15,0.15,0.25,0.2,count
0.1111111111111111,0.1111111111111111,0.25,0.35,0.25,count
0.1,0.0,0.2,0.0,0.15,count
0.11764705882352941,0.10526315789473684,0.2,0.15,0.21052631578947367,count
0.05,0.10526315789473684,0.3,0.05263157894736842,0.2,count
0.0,0.3,0.05,0.25,0.1,count
0.0,0.25,0.15,0.3,0.3,count
0.05263157894736842,0.25,0.25,0.05,0.1,count
0.1111111111111111,0.25,0.25,0.4,0.05,count
0.10526315789473684,0.2,0.10526315789473684,0.35,0.3,count
0.05,0.15,0.4,0.25,0.2,count
0.0,0.1,0.0,0.2222222222222222,0.2,count
0.05,0.16666666666666666,0.05,0.15,0.05,count
0.0,0.1,0.10526315789473684,0.3,0.2,count
0.05263157894736842,0.16666666666666666,0.10526315789473684,0.2,0.3157894736842105,count
0.05263157894736842,0.2,0.1,0.2,0.15,count
0.1111111111111111,0.15789473684210525,0.15789473684210525,0.15,0.25,count
0.0,0.05263157894736842,0.1,0.2,0.2,count
0.25,0.10526315789473684,0.21052631578947367,0.2631578947368421,0.10526315789473684,count
0.15789473684210525,0.15789473684210525,0.15789473684210525,0.3,0.1,count
0.05263157894736842,0.3,0.05,0.25,0.3,count
0.21052631578947367,0.15,0.2,0.3,0.25,count
0.0,0.3888888888888889,0.1,0.2,0.1,count
0.21052631578947367,0.15,0.05555555555555555,0.25,0.2,count
0.1111111111111111,0.5,0.15,0.2,0.2,count
0.1111111111111111,0.15789473684210525,0.2,0.1,0.15,count
0.05263157894736842,0.3,0.0,0.25,0.1,count
0.15789473684210525,0.0,0.2,0.2222222222222222,0.2631578947368421,count
0.05263157894736842,0.0,0.1,0.1,0.2,count
0.16666666666666666,0.35,0.21052631578947367,0.15,0.2,count
0.16666666666666666,0.2,0.1,0.05,0.25,count
0.05,0.05,0.45,0.1,0.35,count
0.0,0.1,0.25,0.15789473684210525,0.1,count
0.0,0.25,0.15,0.15,0.15,count
0.0,0.2222222222222222,0.15,0.25,0.1,count
0.2631578947368421,0.1,0.2222222222222222,0.3157894736842105,0.15,count
0.25,0.2631578947368421,0.1,0.05,0.05,count
0.0,0.1111111111111111,0.05263157894736842,0.1,0.0,count
0.05,0.0,0.21052631578947367,0.05,0.1,count
0.10526315789473684,0.10526315789473684,0.05,0.25,0.05,count
0.10526315789473684,0.2,0.0,0.15,0.2,count
0.0,0.05263157894736842,0.1,0.15,0.1,count
0.3888888888888889,0.3157894736842105,0.15,0.05,0.05,count
0.3888888888888889,0.15,0.21052631578947367,0.15789473684210525,0.2,count
0.29411764705882354,0.3888888888888889,0.2631578947368421,0.16666666666666666,0.10526315789473684,count
0.0,0.05,0.5,0.2,0.15,count
0.2631578947368421,0.05263157894736842,0.05,0.25,0.3,count
0.10526315789473684,0.21052631578947367,0.1,0.05,0.1,count
0.05555555555555555,0.11764705882352941,0.05263157894736842,0.15,0.2,count
0.21052631578947367,0.0,0.1,0.15,0.2,count
0.05555555555555555,0.05263157894736842,0.2,0.05,0.05,count
0.23529411764705882,0.16666666666666666,0.05,0.1,0.2,count
0.05,0.15789473684210525,0.2631578947368421,0.21052631578947367,0.3,count
0.0,0.0,0.1,0.1,0.25,count
0.2,0.10526315789473684,0.05,0.05263157894736842,0.25,count
0.1,0.1,0.2,0.4,0.21052631578947367,count
0.15789473684210525,0.1,0.25,0.1,0.15,count
0.05555555555555555,0.1,0.2,0.15789473684210525,0.3,count
0.0,0.3,0.05263157894736842,0.25,0.10526315789473684,count
0.0,0.25,0.05,0.15,0.2,count
0.05263157894736842,0.05263157894736842,0.2,0.3,0.15,count
0.0,0.1,0.15,0.25,0.1,count
0.11764705882352941,0.2631578947368421,0.1,0.15,0.1,count
0.2222222222222222,0.15,0.05,0.15,0.1,count
0.23529411764705882,0.15,0.3684210526315789,0.15789473684210525,0.1,count
0.05555555555555555,0.0,0.05,0.25,0.25,count
0.10526315789473684,0.1,0.0,0.3,0.1,count
0.29411764705882354,0.15,0.2,0.05,0.05263157894736842,count
0.2631578947368421,0.1,0.1,0.2,0.1,count
0.05555555555555555,0.15,0.21052631578947367,0.2,0.15,count
0.3888888888888889,0.3684210526315789,0.15,0.0,0.15789473684210525,count
0.05263157894736842,0.05263157894736842,0.2631578947368421,0.3,0.2,count
0.05263157894736842,0.1,0.16666666666666666,0.45,0.05,count
0.0,0.2631578947368421,0.05,0.2,0.25,count
0.1111111111111111,0.05,0.3684210526315789,0.15,0.05,count
0.15789473684210525,0.2631578947368421,0.15789473684210525,0.25,0.15,count
0.0,0.0,0.05,0.15789473684210525,0.1,count
0.05,0.3,0.15789473684210525,0.15,0.2,count
0.0,0.1875,0.3,0.1,0.3333333333333333,count
0.3,0.10526315789473684,0.10526315789473684,0.15,0.21052631578947367,count
0.0,0.5,0.1,0.1,0.15,count
0.0,0.15,0.1,0.05,0.15,count
0.0,0.10526315789473684,0.2,0.25,0.2,count
0.10526315789473684,0.1,0.15789473684210525,0.2631578947368421,0.21052631578947367,count
0.05,0.2631578947368421,0.05,0.15,0.05,count
0.058823529411764705,0.05263157894736842,0.05555555555555555,0.15789473684210525,0.25,count
0.21052631578947367,0.15,0.15,0.25,0.15789473684210525,count
0.0,0.3,0.21052631578947367,0.15,0.2,count
0.058823529411764705,0.25,0.25,0.3,0.15,count
0.0,0.15,0.15789473684210525,0.05,0.3,count
0.21052631578947367,0.25,0.1,0.35,0.25,count
0.0,0.15789473684210525,0.15,0.0,0.3157894736842105,count
0.11764705882352941,0.0,0.1111111111111111,0.2,0.2,count
0.0625,0.05,0.15789473684210525,0.3157894736842105,0.05,count
0.05263157894736842,0.15,0.15789473684210525,0.25,0.2,count
0.0,0.35294117647058826,0.21052631578947367,0.10526315789473684,0.1,count
0.1111111111111111,0.1,0.05,0.1,0.3,count
0.0,0.3,0.1,0.21052631578947367,0.0,count
0.21052631578947367,0.3157894736842105,0.1,0.3,0.25,count
0.05263157894736842,0.15,0.15789473684210525,0.0,0.2,count
0.17647058823529413,0.05263157894736842,0.1,0.2222222222222222,0.15,count
0.05263157894736842,0.05263157894736842,0.15789473684210525,0.05,0.2,count
0.25,0.15789473684210525,0.1,0.21052631578947367,0.15,count
0.11764705882352941,0.0,0.10526315789473684,0.25,0.2,count
0.10526315789473684,0.21052631578947367,0.21052631578947367,0.1,0.3,count
0.0,0.0,0.05,0.3684210526315789,0.35,count
0.15,0.05555555555555555,0.05,0.15,0.3684210526315789,count
0.1,0.3157894736842105,0.42105263157894735,0.05555555555555555,0.25,count
0.35,0.3,0.05,0.15789473684210525,0.05,count
0.1111111111111111,0.16666666666666666,0.0,0.2,0.1,count
0.10526315789473684,0.05555555555555555,0.05,0.05,0.15789473684210525,count
0.1,0.05,0.2,0.3,0.05,count
0.15789473684210525,0.1,0.10526315789473684,0.2631578947368421,0.2631578947368421,count
0.05263157894736842,0.10526315789473684,0.25,0.4,0.15,count
0.0,0.25,0.0,0.15,0.15789473684210525,count
0.06666666666666667,0.10526315789473684,0.2,0.1,0.05263157894736842,count
0.10526315789473684,0.0,0.15,0.2,0.05263157894736842,count
0.16666666666666666,0.15,0.16666666666666666,0.1,0.05263157894736842,count
0.0,0.0,0.15,0.1111111111111111,0.35,count
0.3,0.1111111111111111,0.15,0.2,0.25,count
0.0,0.2,0.21052631578947367,0.1,0.1,count
0.058823529411764705,0.2,0.15,0.15,0.15,count
0.1111111111111111,0.2,0.1,0.3157894736842105,0.05,count
0.10526315789473684,0.25,0.0,0.10526315789473684,0.25,count
0.3157894736842105,0.05555555555555555,0.35,0.10526315789473684,0.25,count
0.2,0.0,0.05263157894736842,0.05,0.05263157894736842,count
0.0,0.2,0.15,0.1,0.05263157894736842,count
0.05,0.1,0.17647058823529413,0.05263157894736842,0.15,count
0.2222222222222222,0.2,0.1,0.1,0.15,count
0.11764705882352941,0.10526315789473684,0.2,0.2,0.15,count
0.05,0.25,0.1,0.15,0.1,count
0.1111111111111111,0.05263157894736842,0.0,0.3157894736842105,0.2631578947368421,count
0.0,0.15,0.21052631578947367,0.3157894736842105,0.2,count
0.05263157894736842,0.05263157894736842,0.05,0.10526315789473684,0.2222222222222222,count
0.125,0.15,0.15789473684210525,0.1,0.15789473684210525,count
0.15,0.2,0.15789473684210525,0.05,0.25,count
0.1875,0.2631578947368421,0.05,0.25,0.3,count
0.0,0.15789473684210525,0.05,0.1,0.10526315789473684,count
0.0,0.2777777777777778,0.3,0.10526315789473684,0.2,count
0.05263157894736842,0.25,0.0,0.2,0.05,count
0.11764705882352941,0.3684210526315789,0.2222222222222222,0.2631578947368421,0.2,count
0.15789473684210525,0.10526315789473684,0.2,0.15,0.15,count
0.0,0.25,0.2631578947368421,0.2,0.15,count
0.10526315789473684,0.15,0.0,0.1,0.1,count
0.16666666666666666,0.3333333333333333,0.05,0.25,0.10526315789473684,count
0.0,0.15,0.1,0.1,0.10526315789473684,count
0.11764705882352941,0.0,0.1,0.3157894736842105,0.1,count
0.17647058823529413,0.1,0.1,0.4,0.15,count
0.2631578947368421,0.2631578947368421,0.05,0.05,0.25,count
0.1,0.15789473684210525,0.15,0.05,0.25,count
0.21052631578947367,0.2777777777777778,0.0,0.15,0.15,count
0.10526315789473684,0.15,0.21052631578947367,0.2,0.1,count
0.05263157894736842,0.15,0.1,0.15,0.2,count
0.0,0.1111111111111111,0.1,0.1,0.2,count
0.2631578947368421,0.1,0.1,0.05,0.15,count
0.17647058823529413,0.2,0.05,0.3,0.15,count
0.16666666666666666,0.1111111111111111,0.10526315789473684,0.45,0.15,count
0.0,0.2,0.15789473684210525,0.2,0.15,count
0.15,0.05263157894736842,0.15,0.2,0.15789473684210525,count
0.15,0.05555555555555555,0.05,0.15,0.05,count
0.15789473684210525,0.2631578947368421,0.3,0.2,0.2631578947368421,count
0.10526315789473684,0.10526315789473684,0.1,0.25,0.1,count
0.0,0.1,0.05,0.1,0.15,count
0.2,0.2,0.10526315789473684,0.25,0.15,count
0.25,0.3684210526315789,0.2,0.15,0.1,count
0.10526315789473684,0.2222222222222222,0.15789473684210525,0.2,0.3,count
0.10526315789473684,0.0,0.25,0.05263157894736842,0.15,count
0.05555555555555555,0.25,0.05555555555555555,0.10526315789473684,0.21052631578947367,count
0.2,0.15789473684210525,0.15,0.0,0.2,count
0.15789473684210525,0.05,0.1111111111111111,0.05555555555555555,0.25,count
0.0,0.10526315789473684,0.2,0.05,0.3,count
0.0,0.05,0.15,0.0,0.25,count
0.1111111111111111,0.2,0.1,0.05,0.1,count
0.1111111111111111,0.0,0.05,0.2,0.1,count
0.15,0.0,0.05,0.15,0.2,count
0.05555555555555555,0.05263157894736842,0.2,0.29411764705882354,0.1,count
0.0625,0.4,0.15,0.2,0.1,count
0.05555555555555555,0.21052631578947367,0.05263157894736842,0.10526315789473684,0.25,count
0.15789473684210525,0.0,0.1,0.3,0.3,count
0.2,0.0,0.3684210526315789,0.3,0.2,count
0.15789473684210525,0.05,0.05555555555555555,0.2,0.2,count
0.1875,0.2222222222222222,0.15,0.15789473684210525,0.1,count
0.2222222222222222,0.1,0.2,0.2,0.0,count
0.3157894736842105,0.2631578947368421,0.4,0.0,0.1,count
0.05263157894736842,0.1,0.21052631578947367,0.25,0.15,count
0.1,0.2,0.15,0.2631578947368421,0.25,count
0.0,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.2,count
0.15789473684210525,0.1,0.1,0.2,0.2,count
0.0,0.16666666666666666,0.25,0.15,0.15,count
0.05,0.10526315789473684,0.15,0.15,0.25,count
0.0,0.15,0.25,0.1,0.25,count
0.10526315789473684,0.05263157894736842,0.05555555555555555,0.05,0.1,count
0.0,0.1111111111111111,0.15,0.15789473684210525,0.1,count
0.05263157894736842,0.15,0.1111111111111111,0.15,0.15,count
0.2222222222222222,0.2,0.35,0.2,0.2,count
0.1,0.35,0.1,0.21052631578947367,0.15,count
0.05555555555555555,0.05263157894736842,0.05,0.35,0.10526315789473684,count
0.16666666666666666,0.35,0.05,0.0,0.15,count
0.2222222222222222,0.05263157894736842,0.3,0.3,0.2,count
0.1111111111111111,0.1,0.3157894736842105,0.1,0.1,count
0.10526315789473684,0.05263157894736842,0.3157894736842105,0.21052631578947367,0.15,count
0.05,0.2631578947368421,0.21052631578947367,0.3157894736842105,0.3,count
0.05263157894736842,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.15789473684210525,count
0.25,0.1,0.0,0.05263157894736842,0.1,count
0.11764705882352941,0.15789473684210525,0.1,0.15,0.2,count
0.17647058823529413,0.0,0.2,0.2,0.15,count
0.1,0.2,0.0,0.3,0.35,count
0.0,0.1111111111111111,0.15789473684210525,0.10526315789473684,0.25,count
0.21052631578947367,0.05,0.21052631578947367,0.15789473684210525,0.05263157894736842,count
0.2,0.05,0.3,0.10526315789473684,0.2,count
0.10526315789473684,0.05,0.05263157894736842,0.05,0.05,count
0.05263157894736842,0.3,0.15,0.2,0.15,count
0.16666666666666666,0.1,0.21052631578947367,0.05263157894736842,0.2,count
0.0,0.2,0.25,0.21052631578947367,0.15,count
0.0,0.3,0.35,0.05,0.15,count
0.2222222222222222,0.2,0.0,0.15,0.2,count
