Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,simulation_error,corrected_median,raw_error,corrected_error,RE,RE_corr
NC_014328.1.region003,20732.0,8.576500096469227,3.67761475214009,0.0,6.0,8.0,10.0,41.0,20714,20725,20707,sample_3,0_5GB,NC_014328_1,region003,Genome1,0.1518204647,4630065,702938.6198912055,104607894.42106134,22.593180532252,0.03,15.16643706888168,-14.593180532252,-7.42674346337032,-0.6459108540039364,-0.3287161563095805
NC_014328.1.region005,21571.0,9.478466459598534,16.36335892849725,0.0,6.0,8.0,10.0,352.0,21564,21570,21563,sample_3,0_5GB,NC_014328_1,region005,Genome1,0.1518204647,4630065,702938.6198912055,104607894.42106134,22.593180532252,0.03,15.16643706888168,-14.593180532252,-7.42674346337032,-0.6459108540039364,-0.3287161563095805
NC_014328.1.region004,22089.0,9.768663135497306,16.2610365227171,0.0,6.0,8.0,11.0,352.0,22081,22066,22058,sample_3,0_5GB,NC_014328_1,region004,Genome1,0.1518204647,4630065,702938.6198912055,104607894.42106134,22.593180532252,0.03,15.16643706888168,-14.593180532252,-7.42674346337032,-0.6459108540039364,-0.3287161563095805
NC_014328.1.region002,19021.0,9.021239682456232,3.718296897434432,1.0,7.0,9.0,11.0,41.0,19021,19019,19019,sample_3,0_5GB,NC_014328_1,region002,Genome1,0.1518204647,4630065,702938.6198912055,104607894.42106134,22.593180532252,0.03,17.06224170249189,-13.593180532252,-5.53093882976011,-0.6016497107544284,-0.24480567584827811
NC_014328.1.region001,18132.0,8.77354952570042,5.660091260645976,0.0,6.0,8.0,11.0,293.0,18112,18086,18066,sample_3,0_5GB,NC_014328_1,region001,Genome1,0.1518204647,4630065,702938.6198912055,104607894.42106134,22.593180532252,0.03,15.16643706888168,-14.593180532252,-7.42674346337032,-0.6459108540039364,-0.3287161563095805
NZ_CP053893.1.region002,19846.0,48.21752494205381,88.6375977289445,0.0,8.0,11.0,16.0,560.0,19844,19844,19842,sample_3,0_5GB,NZ_CP053893_1,region002,Genome3,0.2276825232,5984367,1362535.7783148142,202765924.0929664,33.88260180115397,0.03,20.85385096971231,-22.882601801153967,-13.02875083144166,-0.6753496067227823,-0.3845262801216738
NZ_CP053893.1.region005,66020.0,9.84009391093608,3.270246204528012,1.0,8.0,10.0,12.0,58.0,66020,65902,65902,sample_3,0_5GB,NZ_CP053893_1,region005,Genome3,0.2276825232,5984367,1362535.7783148142,202765924.0929664,33.88260180115397,0.03,18.9580463361021,-23.882601801153967,-14.924555465051867,-0.704863278838893,-0.44047843647424884
NZ_CP053893.1.region004,19578.0,10.403820614975992,4.178522437823696,0.0,8.0,10.0,13.0,36.0,19573,19578,19573,sample_3,0_5GB,NZ_CP053893_1,region004,Genome3,0.2276825232,5984367,1362535.7783148142,202765924.0929664,33.88260180115397,0.03,18.9580463361021,-23.882601801153967,-14.924555465051867,-0.704863278838893,-0.44047843647424884
NZ_CP053893.1.region006,20740.0,12.100096432015429,5.549874684382494,1.0,8.0,11.0,15.0,38.0,20740,20740,20740,sample_3,0_5GB,NZ_CP053893_1,region006,Genome3,0.2276825232,5984367,1362535.7783148142,202765924.0929664,33.88260180115397,0.03,20.85385096971231,-22.882601801153967,-13.02875083144166,-0.6753496067227823,-0.3845262801216738
NZ_CP053893.1.region003,20374.0,10.055806419946991,10.293254567156165,0.0,7.0,9.0,11.0,347.0,20370,20341,20337,sample_3,0_5GB,NZ_CP053893_1,region003,Genome3,0.2276825232,5984367,1362535.7783148142,202765924.0929664,33.88260180115397,0.03,17.06224170249189,-24.882601801153967,-16.82036009866208,-0.7343769509550037,-0.496430592826824
