,Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,quantification,Breadth,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,err_type,err_profile,fragment_size,readsGB,error,RE
724,NC_014328.1.region001,18132.0,2.498841826604897,1.8624738879830691,0.0,1.0,2.0,3.0,66.0,16708.0,18086.0,16662.0,sample_3,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1972397081,4630065,913232.6690840264,25659883.91099922,5.542013753802424,wgsim,0.03,270,0.1,-3.542013753802424,-0.6391203470709934
772,NC_014328.1.region001,18132.0,2.3879880873593646,2.0441260922918736,0.0,1.0,2.0,3.0,87.0,16150.0,18086.0,16104.0,sample_0,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2126204027787379,4630065,984446.2851917372,28921356.1408916,6.246425512577383,wgsim,0.03,270,0.1,-4.246425512577383,-0.6798168815152067
820,NC_014328.1.region001,18132.0,2.770902272225899,2.13023036798994,0.0,1.0,3.0,4.0,70.0,16763.0,18086.0,16717.0,sample_2,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2416189062,4630065,1118711.240934903,35494515.19591665,7.6660943628041185,wgsim,0.03,270,0.1,-4.6660943628041185,-0.6086664397772096
868,NC_014328.1.region001,18132.0,2.715365100375028,2.32626419767164,0.0,1.0,2.0,4.0,102.0,16694.0,18086.0,16648.0,sample_4,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2339774735,4630065,1083330.9108407774,31324248.845493257,6.765401532266449,wgsim,0.03,270,0.1,-4.765401532266449,-0.7043782264125292
916,NC_014328.1.region001,18132.0,1.4133575998235164,1.4017741461010982,0.0,1.0,1.0,2.0,49.0,13667.0,18086.0,13621.0,sample_1,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1152034382,4630065,533399.407089483,16638327.685143868,3.593540843410161,wgsim,0.03,270,0.1,-2.593540843410161,-0.7217229346832662
484,NC_014328.1.region001,18132.0,3.453287006397529,2.59819492134176,0.0,2.0,3.0,5.0,127.0,17469.0,18086.0,17423.0,sample_3,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.1557078253,4630065,720937.3521476445,44075942.06491075,9.519508271462874,wgsim,0.03,270,0.2,-6.519508271462874,-0.684857671798736
532,NC_014328.1.region001,18132.0,6.660765497463049,4.37137847666751,0.0,5.0,6.0,8.0,227.0,18113.0,18086.0,18067.0,sample_0,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.2926427936292642,4630065,1354955.1562850792,75662335.69786501,16.341527753468906,wgsim,0.03,270,0.2,-10.341527753468906,-0.6328372664712241
580,NC_014328.1.region001,18132.0,3.847286565188617,2.9563229484056683,0.0,2.0,4.0,5.0,146.0,17695.0,18086.0,17649.0,sample_2,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.178455683,4630065,826261.411909395,49199360.465085454,10.626062585532914,wgsim,0.03,270,0.2,-6.626062585532914,-0.6235670580892411
628,NC_014328.1.region001,18132.0,4.865376130597838,3.4319851458769346,0.0,3.0,4.0,6.0,167.0,17954.0,18086.0,17908.0,sample_4,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.2108713088789128,4630065,976347.8667444434,50390077.5988906,10.88323330210064,wgsim,0.03,270,0.2,-6.88323330210064,-0.632462165519512
676,NC_014328.1.region001,18132.0,6.068442532539157,3.865892533366466,0.0,4.0,6.0,8.0,191.0,18061.0,18086.0,18015.0,sample_1,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.2412511818,4630065,1117008.653060817,65345097.20878799,14.11321379047335,wgsim,0.03,270,0.2,-8.11321379047335,-0.5748664982280579
964,NC_014328.1.region001,18132.0,9.870229428634458,6.404100302221791,0.0,7.0,9.0,12.0,371.0,18129.0,18086.0,18083.0,sample_3,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.289570097728957,4630065,1340728.3745414233,116181837.09356286,25.09291707428791,wgsim,0.03,270,0.3,-16.09291707428791,-0.6413330513405284
1012,NC_014328.1.region001,18132.0,7.269523494374586,4.924278193707832,0.0,5.0,7.0,9.0,253.0,18108.0,18086.0,18062.0,sample_0,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.2142002794785799,4630065,991761.217003991,82461301.48064058,17.809966270590277,wgsim,0.03,270,0.3,-10.809966270590277,-0.6069616363306005
1060,NC_014328.1.region001,18132.0,7.158283697330687,4.827918080787679,0.0,5.0,7.0,9.0,257.0,18098.0,18086.0,18052.0,sample_2,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.21730050742173,4630065,1006115.4738955924,89618607.16178736,19.35579892761492,wgsim,0.03,270,0.3,-12.35579892761492,-0.6383512751822866
1108,NC_014328.1.region001,18132.0,6.2946724023825285,4.129852506433623,0.0,4.0,6.0,8.0,217.0,18071.0,18086.0,18025.0,sample_4,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.178369746917837,4630065,825863.522263135,73197734.31953289,15.809223913602269,wgsim,0.03,270,0.3,-9.809223913602269,-0.6204747283743893
1156,NC_014328.1.region001,18132.0,6.864548863887051,4.8982889206888,0.0,5.0,6.0,8.0,264.0,18115.0,18086.0,18069.0,sample_1,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.2159782581,4630065,999993.3735897765,87556964.695296,18.910526028316237,wgsim,0.03,270,0.3,-12.910526028316237,-0.6827163881630939
4,NC_014328.1.region001,18132.0,9.607875579086697,6.1645481885670526,1.0,7.0,9.0,11.0,353.0,18132.0,18086.0,18086.0,sample_3,0_5GB,kmerCount,,NC_014328_1,region001,Genome1,0.1669311196,4630065,772901.934270774,114266507.67196085,24.679244820960577,wgsim,0.03,270,0.5,-15.679244820960577,-0.6353210940897138
52,NC_014328.1.region001,18132.0,12.134017207147584,7.542150188282423,1.0,9.0,12.0,14.0,412.0,18132.0,18086.0,18086.0,sample_0,0_5GB,kmerCount,,NC_014328_1,region001,Genome1,0.2045732812795426,4630065,947187.5895875654,135727947.554445,29.314479938066743,wgsim,0.03,270,0.5,-17.314479938066743,-0.5906459870564776
100,NC_014328.1.region001,18132.0,8.942753143613501,5.7814639635579175,1.0,6.0,8.0,11.0,308.0,18132.0,18086.0,18086.0,sample_2,0_5GB,kmerCount,,NC_014328_1,region001,Genome1,0.1545479899,4630065,715567.2388563434,108746552.58135952,23.487046635708037,wgsim,0.03,270,0.5,-15.487046635708037,-0.6593867196637074
148,NC_014328.1.region001,18132.0,11.652768585925436,7.53993223256327,1.0,9.0,11.0,14.0,450.0,18132.0,18086.0,18086.0,sample_4,0_5GB,kmerCount,,NC_014328_1,region001,Genome1,0.2030181058203018,4630065,939987.0261248756,142209300.89890236,30.71432061945185,wgsim,0.03,270,0.5,-19.71432061945185,-0.6418608721225131
196,NC_014328.1.region001,18132.0,8.787557908669756,5.319092049162798,1.0,6.0,8.0,11.0,292.0,18132.0,18086.0,18086.0,sample_1,0_5GB,kmerCount,,NC_014328_1,region001,Genome1,0.1497557483700488,4630065,693378.84907697,110389282.43607277,23.84184291928359,wgsim,0.03,270,0.5,-15.84184291928359,-0.6644554690220907
244,NC_014328.1.region001,18132.0,22.95968453562762,13.6101019685407,8.0,19.0,22.0,25.0,854.0,18132.0,18086.0,18086.0,sample_3,1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1939770640193977,4630065,898126.4149189726,261130368.1091281,56.398855763175696,wgsim,0.03,270,1.0,-34.398855763175696,-0.6099211641388587
