,Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,quantification,Breadth,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,err_type,err_profile,fragment_size,readsGB
724,NC_014328.1.region001,18132.0,2.623483344363556,2.0259270437850683,0.0,1.0,2.0,3.0,79.0,16905.0,18086.0,16859.0,sample_3,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1092292775,4630065,505738.6547280375,15730675.732292067,3.3975064566679016,wgsim,0.0,270,0.1
727,NC_014328.1.region001,,3.138087746897396,,,,3.0,,,,,,sample_3,0_1GB,mapping(filtered),0.9455156456588806,NC_014328_1,region001,Genome1,0.1092292775,4630065,505738.6547280375,15730675.732292067,3.3975064566679016,wgsim,0.0,270,0.1
732,NC_014328.1.region001,,3.138087746897396,,,,3.0,,,,,,sample_3,0_1GB,mapping(unfiltered),0.9455156456588806,NC_014328_1,region001,Genome1,0.1092292775,4630065,505738.6547280375,15730675.732292067,3.3975064566679016,wgsim,0.0,270,0.1
772,NC_014328.1.region001,18132.0,6.027906463710567,4.270743737648075,0.0,4.0,6.0,8.0,229.0,18108.0,18086.0,18062.0,sample_0,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2515490305,4630065,1164688.3619019825,33140702.370593585,7.157718600191052,wgsim,0.0,270,0.1
775,NC_014328.1.region001,,6.718378140149846,,,,6.0,,,,,,sample_0,0_1GB,mapping(filtered),1.0,NC_014328_1,region001,Genome1,0.2515490305,4630065,1164688.3619019825,33140702.370593585,7.157718600191052,wgsim,0.0,270,0.1
780,NC_014328.1.region001,,6.718378140149846,,,,6.0,,,,,,sample_0,0_1GB,mapping(unfiltered),1.0,NC_014328_1,region001,Genome1,0.2515490305,4630065,1164688.3619019825,33140702.370593585,7.157718600191052,wgsim,0.0,270,0.1
820,NC_014328.1.region001,18132.0,4.400617692477388,3.108271012812015,0.0,3.0,4.0,6.0,157.0,17805.0,18086.0,17759.0,sample_2,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.195598646,4630065,905634.44489199,28079696.11847128,6.064644042464042,wgsim,0.0,270,0.1
823,NC_014328.1.region001,,4.956356947773257,,,,5.0,,,,,,sample_2,0_1GB,mapping(filtered),0.9883759365359188,NC_014328_1,region001,Genome1,0.195598646,4630065,905634.44489199,28079696.11847128,6.064644042464042,wgsim,0.0,270,0.1
828,NC_014328.1.region001,,4.956356947773257,,,,5.0,,,,,,sample_2,0_1GB,mapping(unfiltered),0.9883759365359188,NC_014328_1,region001,Genome1,0.195598646,4630065,905634.44489199,28079696.11847128,6.064644042464042,wgsim,0.0,270,0.1
868,NC_014328.1.region001,18132.0,5.394661372159717,3.603353979846833,0.0,4.0,5.0,7.0,184.0,18119.0,18086.0,18073.0,sample_4,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2389941083761005,4630065,1106558.2563983898,31375539.322961267,6.776479233652501,wgsim,0.0,270,0.1
871,NC_014328.1.region001,,6.040546496253857,,,,6.0,,,,,,sample_4,0_1GB,mapping(filtered),1.0,NC_014328_1,region001,Genome1,0.2389941083761005,4630065,1106558.2563983898,31375539.322961267,6.776479233652501,wgsim,0.0,270,0.1
876,NC_014328.1.region001,,6.040546496253857,,,,6.0,,,,,,sample_4,0_1GB,mapping(unfiltered),1.0,NC_014328_1,region001,Genome1,0.2389941083761005,4630065,1106558.2563983898,31375539.322961267,6.776479233652501,wgsim,0.0,270,0.1
916,NC_014328.1.region001,18132.0,3.0272998014559893,2.6589815576981017,0.0,2.0,3.0,4.0,122.0,16966.0,18086.0,16920.0,sample_1,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1374143275,4630065,636237.2682562874,19346764.32379205,4.178508147032937,wgsim,0.0,270,0.1
919,NC_014328.1.region001,,3.509971837461923,,,,3.0,,,,,,sample_1,0_1GB,mapping(filtered),0.9585169678272368,NC_014328_1,region001,Genome1,0.1374143275,4630065,636237.2682562874,19346764.32379205,4.178508147032937,wgsim,0.0,270,0.1
924,NC_014328.1.region001,,3.509971837461923,,,,3.0,,,,,,sample_1,0_1GB,mapping(unfiltered),0.9585169678272368,NC_014328_1,region001,Genome1,0.1374143275,4630065,636237.2682562874,19346764.32379205,4.178508147032937,wgsim,0.0,270,0.1
723,NC_014328.1.region002,19021.0,2.117501708637821,1.7618814578047413,0.0,1.0,2.0,3.0,13.0,15479.0,19019.0,15477.0,sample_3,0_1GB,kmerCount,,NC_014328_1,region002,Genome1,0.1092292775,4630065,505738.6547280375,15730675.732292067,3.3975064566679016,wgsim,0.0,270,0.1
729,NC_014328.1.region002,,2.7695120413567014,,,,3.0,,,,,,sample_3,0_1GB,mapping(filtered),0.8330444829578278,NC_014328_1,region002,Genome1,0.1092292775,4630065,505738.6547280375,15730675.732292067,3.3975064566679016,wgsim,0.0,270,0.1
734,NC_014328.1.region002,,2.7695120413567014,,,,3.0,,,,,,sample_3,0_1GB,mapping(unfiltered),0.8330444829578278,NC_014328_1,region002,Genome1,0.1092292775,4630065,505738.6547280375,15730675.732292067,3.3975064566679016,wgsim,0.0,270,0.1
771,NC_014328.1.region002,19021.0,5.069659849639872,3.067542341995899,0.0,3.0,5.0,7.0,23.0,18878.0,19019.0,18876.0,sample_0,0_1GB,kmerCount,,NC_014328_1,region002,Genome1,0.2515490305,4630065,1164688.3619019825,33140702.370593585,7.157718600191052,wgsim,0.0,270,0.1
777,NC_014328.1.region002,,5.518329295270199,,,,5.0,,,,,,sample_0,0_1GB,mapping(filtered),0.9971114962449452,NC_014328_1,region002,Genome1,0.2515490305,4630065,1164688.3619019825,33140702.370593585,7.157718600191052,wgsim,0.0,270,0.1
