,Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,Depth Error Corrected,Depth Error/Edge Corrected,sample,dataset,quantification,Breadth,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,err_type,err_profile,fragment_size,readsGB
244,NC_014328.1.region001,18132.0,1.478215309949261,1.5887752785886842,0.0,0.0,1.0,2.0,70.0,12982.0,18086.0,12936.0,1.89580463361021,2.187466884934857,sample_3,0_05GB,kmerCount,,NC_014328_1,region001,Genome1,0.169316674,4630065,783947.20620381,12844266.289551113,2.774100642118656,art,mbarc,270,0.05
247,NC_014328.1.region001,,2.886668829062601,,,,3.0,,,,,,,,sample_3,0_05GB,mapping(filtered),0.8492177170559718,NC_014328_1,region001,Genome1,0.169316674,4630065,783947.20620381,12844266.289551113,2.774100642118656,art,mbarc,270,0.05
252,NC_014328.1.region001,,2.922758174166397,,,,3.0,,,,,,,,sample_3,0_05GB,mapping(unfiltered),0.8508704275011018,NC_014328_1,region001,Genome1,0.169316674,4630065,783947.20620381,12844266.289551113,2.774100642118656,art,mbarc,270,0.05
292,NC_014328.1.region001,18132.0,1.581237590999338,1.544753424351899,0.0,1.0,1.0,2.0,67.0,14040.0,18086.0,13994.0,1.89580463361021,2.187466884934857,sample_0,0_05GB,kmerCount,,NC_014328_1,region001,Genome1,0.2208162821,4630065,1022393.7391813366,14229724.473771948,3.0733314702432786,art,mbarc,270,0.05
295,NC_014328.1.region001,,3.0535309609848715,,,,3.0,,,,,,,,sample_0,0_05GB,mapping(filtered),0.8994601145879242,NC_014328_1,region001,Genome1,0.2208162821,4630065,1022393.7391813366,14229724.473771948,3.0733314702432786,art,mbarc,270,0.05
300,NC_014328.1.region001,,3.092315216726784,,,,3.0,,,,,,,,sample_0,0_05GB,mapping(unfiltered),0.9011128250330542,NC_014328_1,region001,Genome1,0.2208162821,4630065,1022393.7391813366,14229724.473771948,3.0733314702432786,art,mbarc,270,0.05
340,NC_014328.1.region001,18132.0,1.507335098168983,1.315323879779033,0.0,1.0,1.0,2.0,50.0,14526.0,18086.0,14480.0,1.89580463361021,2.187466884934857,sample_2,0_05GB,kmerCount,,NC_014328_1,region001,Genome1,0.1940543248194054,4630065,898484.1374449603,12391571.67067004,2.676327798998511,art,mbarc,270,0.05
343,NC_014328.1.region001,,2.827484192818609,,,,3.0,,,,,,,,sample_2,0_05GB,mapping(filtered),0.9497025121198766,NC_014328_1,region001,Genome1,0.1940543248194054,4630065,898484.1374449603,12391571.67067004,2.676327798998511,art,mbarc,270,0.05
348,NC_014328.1.region001,,2.8602256291582298,,,,3.0,,,,,,,,sample_2,0_05GB,mapping(unfiltered),0.9522366681357426,NC_014328_1,region001,Genome1,0.1940543248194054,4630065,898484.1374449603,12391571.67067004,2.676327798998511,art,mbarc,270,0.05
388,NC_014328.1.region001,18132.0,0.9278071917052724,1.175384554904585,0.0,0.0,1.0,1.0,50.0,10624.0,18086.0,10578.0,1.89580463361021,2.187466884934857,sample_4,0_05GB,kmerCount,,NC_014328_1,region001,Genome1,0.1365827761136582,4630065,632387.1312866849,9336153.371372428,2.016419504126276,art,mbarc,270,0.05
391,NC_014328.1.region001,,2.0869148544047182,,,,2.0,,,,,,,,sample_4,0_05GB,mapping(filtered),0.7473005729396209,NC_014328_1,region001,Genome1,0.1365827761136582,4630065,632387.1312866849,9336153.371372428,2.016419504126276,art,mbarc,270,0.05
396,NC_014328.1.region001,,2.1057882767221776,,,,2.0,,,,,,,,sample_4,0_05GB,mapping(unfiltered),0.750936535918907,NC_014328_1,region001,Genome1,0.1365827761136582,4630065,632387.1312866849,9336153.371372428,2.016419504126276,art,mbarc,270,0.05
436,NC_014328.1.region001,18132.0,1.9611736157070367,1.7010066907025074,0.0,1.0,2.0,3.0,67.0,15855.0,18086.0,15809.0,3.79160926722042,4.374933769869715,sample_1,0_05GB,kmerCount,,NC_014328_1,region001,Genome1,0.2386605972,4630065,1105014.077974818,16736455.417637058,3.614734440582812,art,mbarc,270,0.05
439,NC_014328.1.region001,,3.5378813463919845,,,,3.0,,,,,,,,sample_1,0_05GB,mapping(filtered),0.9787351256059938,NC_014328_1,region001,Genome1,0.2386605972,4630065,1105014.077974818,16736455.417637058,3.614734440582812,art,mbarc,270,0.05
444,NC_014328.1.region001,,3.583614295347269,,,,3.0,,,,,,,,sample_1,0_05GB,mapping(unfiltered),0.980387836051124,NC_014328_1,region001,Genome1,0.2386605972,4630065,1105014.077974818,16736455.417637058,3.614734440582812,art,mbarc,270,0.05
243,NC_014328.1.region002,19021.0,1.5250512591346406,1.3881599580521784,0.0,0.0,1.0,2.0,10.0,13980.0,19019.0,13978.0,1.89580463361021,2.187466884934857,sample_3,0_05GB,kmerCount,,NC_014328_1,region002,Genome1,0.169316674,4630065,783947.20620381,12844266.289551113,2.774100642118656,art,mbarc,270,0.05
249,NC_014328.1.region002,,3.042768850432633,,,,3.0,,,,,,,,sample_3,0_05GB,mapping(filtered),0.8497452864870543,NC_014328_1,region002,Genome1,0.169316674,4630065,783947.20620381,12844266.289551113,2.774100642118656,art,mbarc,270,0.05
254,NC_014328.1.region002,,3.0817610062893084,,,,3.0,,,,,,,,sample_3,0_05GB,mapping(unfiltered),0.8517409799905468,NC_014328_1,region002,Genome1,0.169316674,4630065,783947.20620381,12844266.289551113,2.774100642118656,art,mbarc,270,0.05
291,NC_014328.1.region002,19021.0,1.6173177014878293,1.3588022720654165,0.0,1.0,1.0,2.0,7.0,14740.0,19019.0,14738.0,1.89580463361021,2.187466884934857,sample_0,0_05GB,kmerCount,,NC_014328_1,region002,Genome1,0.2208162821,4630065,1022393.7391813366,14229724.473771948,3.0733314702432786,art,mbarc,270,0.05
297,NC_014328.1.region002,,3.0090232348296864,,,,3.0,,,,,,,,sample_0,0_05GB,mapping(filtered),0.9312536106296938,NC_014328_1,region002,Genome1,0.2208162821,4630065,1022393.7391813366,14229724.473771948,3.0733314702432786,art,mbarc,270,0.05
302,NC_014328.1.region002,,3.039336892385501,,,,3.0,,,,,,,,sample_0,0_05GB,mapping(unfiltered),0.934562260385484,NC_014328_1,region002,Genome1,0.2208162821,4630065,1022393.7391813366,14229724.473771948,3.0733314702432786,art,mbarc,270,0.05
339,NC_014328.1.region002,19021.0,1.4470848010094106,1.2569886831383918,0.0,0.0,1.0,2.0,8.0,14182.0,19019.0,14180.0,1.89580463361021,2.187466884934857,sample_2,0_05GB,kmerCount,,NC_014328_1,region002,Genome1,0.1940543248194054,4630065,898484.1374449603,12391571.67067004,2.676327798998511,art,mbarc,270,0.05
345,NC_014328.1.region002,,2.9190378586930312,,,,3.0,,,,,,,,sample_2,0_05GB,mapping(filtered),0.8711727325245523,NC_014328_1,region002,Genome1,0.1940543248194054,4630065,898484.1374449603,12391571.67067004,2.676327798998511,art,mbarc,270,0.05
350,NC_014328.1.region002,,2.95253564338567,,,,3.0,,,,,,,,sample_2,0_05GB,mapping(unfiltered),0.873010871277769,NC_014328_1,region002,Genome1,0.1940543248194054,4630065,898484.1374449603,12391571.67067004,2.676327798998511,art,mbarc,270,0.05
387,NC_014328.1.region002,19021.0,1.0698175700541506,1.04894123844587,0.0,0.0,1.0,2.0,7.0,12473.0,19019.0,12471.0,1.89580463361021,2.187466884934857,sample_4,0_05GB,kmerCount,,NC_014328_1,region002,Genome1,0.1365827761136582,4630065,632387.1312866849,9336153.371372428,2.016419504126276,art,mbarc,270,0.05
393,NC_014328.1.region002,,2.250647332988089,,,,2.0,,,,,,,,sample_4,0_05GB,mapping(filtered),0.8113019274197784,NC_014328_1,region002,Genome1,0.1365827761136582,4630065,632387.1312866849,9336153.371372428,2.016419504126276,art,mbarc,270,0.05
398,NC_014328.1.region002,,2.270125684821141,,,,2.0,,,,,,,,sample_4,0_05GB,mapping(unfiltered),0.8148206501759362,NC_014328_1,region002,Genome1,0.1365827761136582,4630065,632387.1312866849,9336153.371372428,2.016419504126276,art,mbarc,270,0.05
435,NC_014328.1.region002,19021.0,1.6910257084275275,1.5651158748830127,0.0,1.0,1.0,2.0,13.0,14797.0,19019.0,14795.0,1.89580463361021,2.187466884934857,sample_1,0_05GB,kmerCount,,NC_014328_1,region002,Genome1,0.2386605972,4630065,1105014.077974818,16736455.417637058,3.614734440582812,art,mbarc,270,0.05
441,NC_014328.1.region002,,3.1565448966595264,,,,3.0,,,,,,,,sample_1,0_05GB,mapping(filtered),0.9071477338375086,NC_014328_1,region002,Genome1,0.2386605972,4630065,1105014.077974818,16736455.417637058,3.614734440582812,art,mbarc,270,0.05
446,NC_014328.1.region002,,3.1942246606988163,,,,3.0,,,,,,,,sample_1,0_05GB,mapping(unfiltered),0.9093535003413686,NC_014328_1,region002,Genome1,0.2386605972,4630065,1105014.077974818,16736455.417637058,3.614734440582812,art,mbarc,270,0.05
240,NC_014328.1.region003,20732.0,1.5825294231140266,1.3541303503335504,0.0,1.0,1.0,2.0,10.0,16109.0,20725.0,16102.0,1.89580463361021,2.187466884934857,sample_3,0_05GB,kmerCount,,NC_014328_1,region003,Genome1,0.169316674,4630065,783947.20620381,12844266.289551113,2.774100642118656,art,mbarc,270,0.05
246,NC_014328.1.region003,,3.1213866778382906,,,,3.0,,,,,,,,sample_3,0_05GB,mapping(filtered),0.9202004626060138,NC_014328_1,region003,Genome1,0.169316674,4630065,783947.20620381,12844266.289551113,2.774100642118656,art,mbarc,270,0.05
251,NC_014328.1.region003,,3.1581832419733757,,,,3.0,,,,,,,,sample_3,0_05GB,mapping(unfiltered),0.9230435620663068,NC_014328_1,region003,Genome1,0.169316674,4630065,783947.20620381,12844266.289551113,2.774100642118656,art,mbarc,270,0.05
288,NC_014328.1.region003,20732.0,1.6265193903144897,1.3428148734080296,0.0,1.0,1.0,2.0,8.0,16217.0,20725.0,16210.0,1.89580463361021,2.187466884934857,sample_0,0_05GB,kmerCount,,NC_014328_1,region003,Genome1,0.2208162821,4630065,1022393.7391813366,14229724.473771948,3.0733314702432786,art,mbarc,270,0.05
294,NC_014328.1.region003,,3.1351154186858423,,,,3.0,,,,,,,,sample_0,0_05GB,mapping(filtered),0.92477833461835,NC_014328_1,region003,Genome1,0.2208162821,4630065,1022393.7391813366,14229724.473771948,3.0733314702432786,art,mbarc,270,0.05
299,NC_014328.1.region003,,3.174776460802662,,,,3.0,,,,,,,,sample_0,0_05GB,mapping(unfiltered),0.926946800308404,NC_014328_1,region003,Genome1,0.2208162821,4630065,1022393.7391813366,14229724.473771948,3.0733314702432786,art,mbarc,270,0.05
336,NC_014328.1.region003,20732.0,1.3957650009646922,1.28098090232383,0.0,0.0,1.0,2.0,8.0,15194.0,20725.0,15187.0,1.89580463361021,2.187466884934857,sample_2,0_05GB,kmerCount,,NC_014328_1,region003,Genome1,0.1940543248194054,4630065,898484.1374449603,12391571.67067004,2.676327798998511,art,mbarc,270,0.05
342,NC_014328.1.region003,,2.77884823554882,,,,2.0,,,,,,,,sample_2,0_05GB,mapping(filtered),0.8903238242097147,NC_014328_1,region003,Genome1,0.1940543248194054,4630065,898484.1374449603,12391571.67067004,2.676327798998511,art,mbarc,270,0.05
347,NC_014328.1.region003,,2.805531593702825,,,,2.0,,,,,,,,sample_2,0_05GB,mapping(unfiltered),0.893793369313801,NC_014328_1,region003,Genome1,0.1940543248194054,4630065,898484.1374449603,12391571.67067004,2.676327798998511,art,mbarc,270,0.05
384,NC_014328.1.region003,20732.0,1.084748215319313,1.0801219027332774,0.0,0.0,1.0,2.0,8.0,13464.0,20725.0,13464.0,1.89580463361021,2.187466884934857,sample_4,0_05GB,kmerCount,,NC_014328_1,region003,Genome1,0.1365827761136582,4630065,632387.1312866849,9336153.371372428,2.016419504126276,art,mbarc,270,0.05
390,NC_014328.1.region003,,2.2851881689492464,,,,2.0,,,,,,,,sample_4,0_05GB,mapping(filtered),0.8374132613723978,NC_014328_1,region003,Genome1,0.1365827761136582,4630065,632387.1312866849,9336153.371372428,2.016419504126276,art,mbarc,270,0.05
395,NC_014328.1.region003,,2.305189597892084,,,,2.0,,,,,,,,sample_4,0_05GB,mapping(unfiltered),0.8412683114880494,NC_014328_1,region003,Genome1,0.1365827761136582,4630065,632387.1312866849,9336153.371372428,2.016419504126276,art,mbarc,270,0.05
432,NC_014328.1.region003,20732.0,1.869380667567046,1.552177773770188,0.0,1.0,2.0,3.0,13.0,17329.0,20725.0,17322.0,3.79160926722042,4.374933769869715,sample_1,0_05GB,kmerCount,,NC_014328_1,region003,Genome1,0.2386605972,4630065,1105014.077974818,16736455.417637058,3.614734440582812,art,mbarc,270,0.05
438,NC_014328.1.region003,,3.497391744745505,,,,3.0,,,,,,,,sample_1,0_05GB,mapping(filtered),0.9514745566692367,NC_014328_1,region003,Genome1,0.2386605972,4630065,1105014.077974818,16736455.417637058,3.614734440582812,art,mbarc,270,0.05
443,NC_014328.1.region003,,3.5401415571284125,,,,3.0,,,,,,,,sample_1,0_05GB,mapping(unfiltered),0.9531611410948342,NC_014328_1,region003,Genome1,0.2386605972,4630065,1105014.077974818,16736455.417637058,3.614734440582812,art,mbarc,270,0.05
242,NC_014328.1.region004,22089.0,1.5514962198379283,3.1857108719968257,0.0,0.0,1.0,2.0,70.0,15907.0,22066.0,15884.0,1.89580463361021,2.187466884934857,sample_3,0_05GB,kmerCount,,NC_014328_1,region004,Genome1,0.169316674,4630065,783947.20620381,12844266.289551113,2.774100642118656,art,mbarc,270,0.05
245,NC_014328.1.region004,,2.9431189842310057,,,,2.0,,,,,,,,sample_3,0_05GB,mapping(filtered),0.8834411325704464,NC_014328_1,region004,Genome1,0.169316674,4630065,783947.20620381,12844266.289551113,2.774100642118656,art,mbarc,270,0.05
