Contig,Breadth,Depth avg,Depth median,readsGB,type,count,std,min,25%,75%,max,count_nonzero,count_unique,count_unique_nonzero,expected_value,expected_value_int,err,AE,RAE,std_res
NC_014328.1.region004,0.9973314035008368,6.854331065759637,6.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-1.7106416819732786,1.7106416819732786,0.22185464615384612,-0.9022527683439594
NZ_CP053893.1.region001,0.9990723992393674,6.931804465902233,7.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-0.7106416819732786,0.7106416819732786,0.0921637538461538,-0.37481749194920755
NZ_LT906470.1.region001,0.9977214901454448,6.599170250827847,6.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-1.7106416819732786,1.7106416819732786,0.22185464615384612,-0.9022527683439594
NZ_CP053893.1.region004,0.9986733340136748,7.728438585734723,7.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-0.7106416819732786,0.7106416819732786,0.0921637538461538,-0.37481749194920755
NZ_CP053893.1.region003,0.9977444346376384,6.195645763711421,6.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-1.7106416819732786,1.7106416819732786,0.22185464615384612,-0.9022527683439594
NZ_CP053893.1.region002,0.9988925802879292,37.10134045555331,7.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-0.7106416819732786,0.7106416819732786,0.0921637538461538,-0.37481749194920755
NZ_CP053893.1.region005,0.9988491823137492,6.514265356861318,6.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-1.7106416819732786,1.7106416819732786,0.22185464615384612,-0.9022527683439594
NC_014328.1.region003,0.9985543562066308,6.899913135797703,7.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-0.7106416819732786,0.7106416819732786,0.0921637538461538,-0.37481749194920755
NZ_CP053893.1.region006,0.9978805394990368,7.566518632940722,7.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-0.7106416819732786,0.7106416819732786,0.0921637538461538,-0.37481749194920755
NC_014328.1.region001,0.998953283384751,6.664258534164231,6.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-1.7106416819732786,1.7106416819732786,0.22185464615384612,-0.9022527683439594
NC_014328.1.region005,0.9993978972720114,7.092130874038372,6.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-1.7106416819732786,1.7106416819732786,0.22185464615384612,-0.9022527683439594
NZ_LT906470.1.region002,0.9996900570295064,7.479599429528121,7.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-0.7106416819732786,0.7106416819732786,0.0921637538461538,-0.37481749194920755
NZ_LT906470.1.region003,0.9989437428243398,6.132999264435454,6.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-1.7106416819732786,1.7106416819732786,0.22185464615384612,-0.9022527683439594
NC_014328.1.region002,0.9981618612467832,6.173892455014206,6.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-1.7106416819732786,1.7106416819732786,0.22185464615384612,-0.9022527683439594
NZ_LT906445.1.region001,0.9973756906077348,6.736186123805567,7.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-0.7106416819732786,0.7106416819732786,0.0921637538461538,-0.37481749194920755
NZ_CP020566.1.region001,0.9994015008517104,5.8962594435231255,6.0,0.13,mapping_MapQ30,,,,,,,,,,7.710641681973279,8.0,-1.7106416819732786,1.7106416819732786,0.22185464615384612,-0.9022527683439594
NC_014328.1.region004,0.9999547695508616,9.536095531029492,9.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-1.9728362397312047,1.9728362397312047,0.17979273513513513,-1.040543427384211
NZ_CP053893.1.region001,1.0,9.214646816010388,9.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-1.9728362397312047,1.9728362397312047,0.17979273513513513,-1.040543427384211
NZ_LT906470.1.region001,1.0,9.928416815402729,9.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-1.9728362397312047,1.9728362397312047,0.17979273513513513,-1.040543427384211
NZ_CP053893.1.region004,1.0,10.759363200326565,10.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-0.9728362397312047,0.9728362397312047,0.0886585945945946,-0.513108150989459
NZ_CP053893.1.region003,1.0,9.12008433853094,9.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-1.9728362397312047,1.9728362397312047,0.17979273513513513,-1.040543427384211
NZ_CP053893.1.region002,0.9999496627403603,52.39325446765668,10.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-0.9728362397312047,0.9728362397312047,0.0886585945945946,-0.513108150989459
NZ_CP053893.1.region005,0.9991823137492428,9.27108780650441,9.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-1.9728362397312047,1.9728362397312047,0.17979273513513513,-1.040543427384211
NC_014328.1.region003,0.9999518118735544,9.505614187268083,9.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-1.9728362397312047,1.9728362397312047,0.17979273513513513,-1.040543427384211
NZ_CP053893.1.region006,1.0,11.602649325626205,10.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-0.9728362397312047,0.9728362397312047,0.0886585945945946,-0.513108150989459
NC_014328.1.region001,0.999614367562803,9.157839625241111,9.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-1.9728362397312047,1.9728362397312047,0.17979273513513513,-1.040543427384211
NC_014328.1.region005,1.0,10.963642258348386,10.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-0.9728362397312047,0.9728362397312047,0.0886585945945946,-0.513108150989459
NZ_LT906470.1.region002,1.0,9.619421026531118,9.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-1.9728362397312047,1.9728362397312047,0.17979273513513513,-1.040543427384211
NZ_LT906470.1.region003,0.9999540757749712,9.142233856893542,9.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-1.9728362397312047,1.9728362397312047,0.17979273513513513,-1.040543427384211
NC_014328.1.region002,0.9998424452497244,8.99858178380082,9.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-1.9728362397312047,1.9728362397312047,0.17979273513513513,-1.040543427384211
NZ_LT906445.1.region001,1.0,9.444060773480665,9.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-1.9728362397312047,1.9728362397312047,0.17979273513513513,-1.040543427384211
NZ_CP020566.1.region001,0.999355462455688,8.985488552079975,9.0,0.185,mapping_MapQ30,,,,,,,,,,10.972836239731205,11.0,-1.9728362397312047,1.9728362397312047,0.17979273513513513,-1.040543427384211
NC_014328.1.region004,0.9990953910172328,6.909502467291412,6.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-2.007204823587635,2.007204823587635,0.2506748444444444,-1.0586706309098235
NZ_CP053893.1.region001,0.9998144798478736,6.8450619288398205,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
NZ_LT906470.1.region001,0.9999240496715148,7.555049181573051,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
NZ_CP053893.1.region004,0.9995917950811308,7.82215416028586,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
NZ_CP053893.1.region003,0.9993625576149848,7.028310681517099,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
NZ_CP053893.1.region002,0.999043592066848,39.69471456643321,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
NZ_CP053893.1.region005,0.9991520290732888,6.48807286614937,6.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-2.007204823587635,2.007204823587635,0.2506748444444444,-1.0586706309098235
NC_014328.1.region003,0.9982170393215112,6.888727974897417,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
NZ_CP053893.1.region006,0.9989884393063584,8.151887747721684,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
NC_014328.1.region001,0.999724548259145,6.713065520471703,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
NC_014328.1.region005,0.9988421101384836,7.4177408884355005,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
NZ_LT906470.1.region002,0.9991321596826184,7.052984241220996,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
NZ_LT906470.1.region003,0.9997703788748564,7.065732659623335,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
NC_014328.1.region002,0.9990021532482538,6.87561770581432,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
NZ_LT906445.1.region001,0.9986648250460404,6.8397492047392925,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
NZ_CP020566.1.region001,0.99838865613922,6.857557871437794,7.0,0.135,mapping_MapQ30,,,,,,,,,,8.007204823587635,8.0,-1.0072048235876352,1.0072048235876352,0.12578731851851846,-0.5312353545150716
