,Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,quantification,Breadth,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,err_type,err_profile,fragment_size,readsGB,error,RE
724,NC_014328.1.region001,18132.0,2.4934921685418043,2.034073980062662,0.0,1.0,2.0,3.0,86.0,16510.0,18086.0,16464.0,sample_3,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1979429011,4630065,916488.4983815716,27291715.106320336,5.894456148309006,wgsim,0.03,270,0.1,-3.894456148309006,-0.6606981289404015
772,NC_014328.1.region001,18132.0,1.379053606882859,1.382098422237212,0.0,0.0,1.0,2.0,53.0,13190.0,18086.0,13165.0,sample_0,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1077628232107762,4630065,498948.87604940246,16808000.20306494,3.6301866611084166,wgsim,0.03,270,0.1,-2.6301866611084166,-0.724532071390878
820,NC_014328.1.region001,18132.0,1.56982131039047,1.552078073808839,0.0,1.0,1.0,2.0,52.0,13859.0,18086.0,13850.0,sample_2,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1353464745,4630065,626662.9744558425,17859623.720626097,3.8573159816603217,wgsim,0.03,270,0.1,-2.8573159816603217,-0.7407523768458384
868,NC_014328.1.region001,18132.0,1.8887050518420472,1.7324393600221892,0.0,1.0,2.0,3.0,61.0,15153.0,18086.0,15107.0,sample_4,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1552219826,4630065,718687.868866869,23014173.72305568,4.970594089511849,wgsim,0.03,270,0.1,-2.970594089511849,-0.5976336099903874
916,NC_014328.1.region001,18132.0,2.328149128612398,1.844777806694507,0.0,1.0,2.0,3.0,70.0,16251.0,18086.0,16205.0,sample_1,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1798848022,4630065,832878.326698143,24246975.06780967,5.23685414088348,wgsim,0.03,270,0.1,-3.23685414088348,-0.6180913299864045
484,NC_014328.1.region001,18132.0,3.814361350099272,2.732752384819486,0.0,2.0,4.0,5.0,116.0,17683.0,18086.0,17637.0,sample_3,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.1603459934839654,4630065,742412.3723203362,44177207.53699024,9.541379556656384,wgsim,0.03,270,0.2,-5.541379556656384,-0.5807734116174567
532,NC_014328.1.region001,18132.0,5.53281491286124,3.856660925801181,0.0,4.0,5.0,7.0,209.0,18093.0,18086.0,18047.0,sample_0,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.2310358374,4630065,1069710.944491431,61351255.52738305,13.250625105129853,wgsim,0.03,270,0.2,-8.250625105129853,-0.6226593115169866
580,NC_014328.1.region001,18132.0,5.24669093315685,3.911953255389412,0.0,3.0,5.0,7.0,202.0,17995.0,18086.0,17949.0,sample_2,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.2209151563,4630065,1022851.5331541594,64123815.88041713,13.849441828660533,wgsim,0.03,270,0.2,-8.849441828660533,-0.6389746199263554
628,NC_014328.1.region001,18132.0,4.640359585263623,3.3515524960988965,0.0,3.0,4.0,6.0,167.0,17813.0,18086.0,17767.0,sample_4,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.1985783631,4630065,919430.7287466016,53504521.88080158,11.555890010356569,wgsim,0.03,270,0.2,-7.555890010356569,-0.6538561723575478
676,NC_014328.1.region001,18132.0,3.50264725347452,2.7785836111031594,0.0,2.0,3.0,5.0,139.0,17447.0,18086.0,17401.0,sample_1,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.1649592551,4630065,763772.0734645815,45904109.64356849,9.9143553370349,wgsim,0.03,270,0.2,-6.9143553370349,-0.6974084649968564
964,NC_014328.1.region001,18132.0,7.921519964703287,5.347879884108569,0.0,6.0,7.0,10.0,296.0,18123.0,18086.0,18077.0,sample_3,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.2316469240768353,4630065,1072540.3155258123,100121511.13434044,21.6242128640398,wgsim,0.03,270,0.3,-14.624212864039801,-0.6762887951569918
1012,NC_014328.1.region001,18132.0,8.988583719391132,5.544315263163754,0.0,6.0,9.0,11.0,307.0,18100.0,18086.0,18054.0,sample_0,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.238340122,4630065,1103530.25696793,100569402.36899684,21.72094827372765,wgsim,0.03,270,0.3,-12.72094827372765,-0.5856534490768132
1060,NC_014328.1.region001,18132.0,7.715751158173395,5.399678367486078,0.0,5.0,7.0,9.0,304.0,18108.0,18086.0,18062.0,sample_2,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.2292637232770736,4630065,1061505.9409148635,93121282.32958668,20.11230562197003,wgsim,0.03,270,0.3,-13.11230562197003,-0.6519543740249538
