,Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,quantification,Breadth,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,err_type,err_profile,fragment_size,readsGB,error,RE
244,NC_014328.1.region001,18132.0,1.478215309949261,1.5887752785886842,0.0,0.0,1.0,2.0,70.0,12982.0,18086.0,12936.0,sample_3,0_05GB,kmerCount,,NC_014328_1,region001,Genome1,0.169316674,4630065,783947.20620381,12844266.289551113,2.774100642118656,art,mbarc,270,0.05,-1.7741006421186558,-0.6395228115313535
292,NC_014328.1.region001,18132.0,1.581237590999338,1.544753424351899,0.0,1.0,1.0,2.0,67.0,14040.0,18086.0,13994.0,sample_0,0_05GB,kmerCount,,NC_014328_1,region001,Genome1,0.2208162821,4630065,1022393.7391813366,14229724.473771948,3.0733314702432786,art,mbarc,270,0.05,-2.0733314702432786,-0.674620193206546
340,NC_014328.1.region001,18132.0,1.507335098168983,1.315323879779033,0.0,1.0,1.0,2.0,50.0,14526.0,18086.0,14480.0,sample_2,0_05GB,kmerCount,,NC_014328_1,region001,Genome1,0.1940543248194054,4630065,898484.1374449603,12391571.67067004,2.676327798998511,art,mbarc,270,0.05,-1.676327798998511,-0.6263536924086046
388,NC_014328.1.region001,18132.0,0.9278071917052724,1.175384554904585,0.0,0.0,1.0,1.0,50.0,10624.0,18086.0,10578.0,sample_4,0_05GB,kmerCount,,NC_014328_1,region001,Genome1,0.1365827761136582,4630065,632387.1312866849,9336153.371372428,2.016419504126276,art,mbarc,270,0.05,-1.0164195041262758,-0.5040714504329769
436,NC_014328.1.region001,18132.0,1.9611736157070367,1.7010066907025074,0.0,1.0,2.0,3.0,67.0,15855.0,18086.0,15809.0,sample_1,0_05GB,kmerCount,,NC_014328_1,region001,Genome1,0.2386605972,4630065,1105014.077974818,16736455.417637058,3.614734440582812,art,mbarc,270,0.05,-1.614734440582812,-0.4467090092301399
964,NC_014328.1.region001,18132.0,2.375303331127289,2.091860159605325,0.0,1.0,2.0,3.0,93.0,16095.0,18086.0,16049.0,sample_3,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1486036177,4630065,688044.4091861505,21343972.726193845,4.609864597191151,art,mbarc,270,0.1,-2.6098645971911507,-0.5661477776985846
1012,NC_014328.1.region001,18132.0,2.373428193249504,1.9427654896301831,0.0,1.0,2.0,3.0,81.0,16146.0,18086.0,16100.0,sample_0,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1375356914137535,4630065,636799.1910656205,22047273.314688478,4.761763239757643,art,mbarc,270,0.1,-2.7617632397576433,-0.5799875173756449
1060,NC_014328.1.region001,18132.0,3.466412971542025,2.450553932731393,0.0,2.0,3.0,4.0,121.0,17455.0,18086.0,17409.0,sample_2,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2185977465,4630065,1012121.7751485225,29838266.033507057,6.444459426273077,art,mbarc,270,0.1,-3.4444594262730774,-0.5344838408370672
1108,NC_014328.1.region001,18132.0,3.595190822854622,2.51944837880431,0.0,2.0,3.0,5.0,115.0,17533.0,18086.0,17487.0,sample_4,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.2417701585758229,4630065,1119411.5492663677,32049976.34855542,6.922143932872523,art,mbarc,270,0.1,-3.9221439328725234,-0.5666082605197907
1156,NC_014328.1.region001,18132.0,2.1563534083388483,1.8998668718889284,0.0,1.0,2.0,3.0,84.0,16158.0,18086.0,16112.0,sample_1,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1533519283,4630065,710029.3959043395,20302567.201623857,4.3849421555904415,art,mbarc,270,0.1,-2.3849421555904415,-0.5438936412307824
724,NC_014328.1.region001,18132.0,4.997187293183322,3.300269630565994,0.0,3.0,5.0,6.0,165.0,17958.0,18086.0,17912.0,sample_3,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.1615452067,4630065,747964.8074594355,43904648.35168535,9.482512308506545,art,mbarc,270,0.2,-4.482512308506545,-0.4727135765998833
772,NC_014328.1.region001,18132.0,3.39162806088683,2.689859753469309,0.0,2.0,3.0,4.0,131.0,17555.0,18086.0,17509.0,sample_0,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.1200990945,4630065,556066.6139761425,31667787.355790555,6.839598872972745,art,mbarc,270,0.2,-3.8395988729727453,-0.5613777860782517
820,NC_014328.1.region001,18132.0,5.031436135009927,3.396719351852899,0.0,3.0,5.0,6.0,160.0,18013.0,18086.0,17967.0,sample_2,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.1855079223,4630065,858913.7382639494,45139884.57901962,9.749298245061272,art,mbarc,270,0.2,-4.749298245061272,-0.4871425743352489
868,NC_014328.1.region001,18132.0,6.902547981469226,4.769942026404754,0.0,5.0,6.0,9.0,266.0,18098.0,18086.0,18052.0,sample_4,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.2095946954,4630065,970437.063357201,58381396.14141988,12.609195797773872,art,mbarc,270,0.2,-6.609195797773872,-0.5241568061732146
916,NC_014328.1.region001,18132.0,6.452459739686741,4.5771505573832885,0.0,4.0,6.0,8.0,248.0,18026.0,18086.0,17980.0,sample_1,0_2GB,kmerCount,,NC_014328_1,region001,Genome1,0.2134563787786543,4630065,988316.90840979,60203180.745289005,13.002664270434432,art,mbarc,270,0.2,-7.0026642704344315,-0.5385561085628542
1204,NC_014328.1.region001,18132.0,7.100375027575557,4.531806939948276,0.0,5.0,7.0,8.0,262.0,18125.0,18086.0,18079.0,sample_3,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.1407028821859297,4630065,651463.4902081966,62952613.19484666,13.59648583655881,art,mbarc,270,0.3,-6.596485836558809,-0.4851610861699203
1252,NC_014328.1.region001,18132.0,10.773053165673948,6.157364572588865,1.0,8.0,10.0,12.0,376.0,18132.0,18086.0,18086.0,sample_0,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.2160051697,4630065,1000117.9760470304,90759083.98175023,19.602118756810164,art,mbarc,270,0.3,-9.602118756810164,-0.48985106538415385
1300,NC_014328.1.region001,18132.0,11.009761747187293,6.429386199606271,2.0,8.0,10.0,13.0,372.0,18132.0,18086.0,18086.0,sample_2,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.2321189598,4630065,1074725.871606387,93988504.52827872,20.299608002971603,art,mbarc,270,0.3,-10.299608002971603,-0.50737964996486
1348,NC_014328.1.region001,18132.0,10.436245312155306,6.579783198605463,1.0,8.0,10.0,12.0,391.0,18132.0,18086.0,18086.0,sample_4,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.2219318512,4630065,1027558.896626328,93357770.1029232,20.163382177771418,art,mbarc,270,0.3,-10.163382177771418,-0.504051457645621
1396,NC_014328.1.region001,18132.0,8.218122656077652,5.431765067616439,0.0,6.0,8.0,10.0,277.0,18106.0,18086.0,18060.0,sample_1,0_3GB,kmerCount,,NC_014328_1,region001,Genome1,0.1775050094,4630065,821859.7313476109,70959373.88051435,15.325783521508738,art,mbarc,270,0.3,-7.325783521508738,-0.4780038496059584
