,Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,simulation_error,readsGB
244,NC_014328.1.region001,18132.0,1.7605890138980806,1.67685824109127,0.0,1.0,2.0,3.0,65.0,14288,18086,14244,sample_3,0_1GB,NC_014328_1,region001,Genome1,0.1671582227,4630065,773953.4363854754,24526475.79693054,5.29722062150975,0.03,0.1
260,NC_014328.1.region001,18132.0,1.6688175601147144,1.5935908228897948,0.0,1.0,1.0,2.0,74.0,15009,18086,14963,sample_0,0_1GB,NC_014328_1,region001,Genome1,0.1427720113857227,4630065,661043.6928966362,20039381.78324297,4.328099450708138,0.03,0.1
276,NC_014328.1.region001,18132.0,2.403706154864328,1.9909739371416624,0.0,1.0,2.0,3.0,87.0,15935,18086,15892,sample_2,0_1GB,NC_014328_1,region001,Genome1,0.2041241841795875,4630065,945108.2408234618,26242589.848935165,5.667866401213625,0.03,0.1
292,NC_014328.1.region001,18132.0,3.4299029340392675,2.616750523250153,0.0,2.0,3.0,4.0,125.0,17385,18086,17339,sample_4,0_1GB,NC_014328_1,region001,Genome1,0.3052909686,4630065,1413517.028530959,39603458.22508357,8.553542601471808,0.03,0.1
308,NC_014328.1.region001,18132.0,1.2080300022060446,1.2910153290192905,0.0,0.0,1.0,2.0,49.0,12627,18086,12591,sample_1,0_1GB,NC_014328_1,region001,Genome1,0.1071690597107169,4630065,496199.71244950045,14985305.983080372,3.2365217298418862,0.03,0.1
243,NC_014328.1.region002,19021.0,1.7595815151674463,1.4742722860233586,0.0,1.0,1.0,3.0,12.0,15380,19019,15378,sample_3,0_1GB,NC_014328_1,region002,Genome1,0.1671582227,4630065,773953.4363854754,24526475.79693054,5.29722062150975,0.03,0.1
259,NC_014328.1.region002,19021.0,1.7467010146679984,1.313194495815997,0.0,1.0,2.0,2.0,9.0,16037,19019,16035,sample_0,0_1GB,NC_014328_1,region002,Genome1,0.1427720113857227,4630065,661043.6928966362,20039381.78324297,4.328099450708138,0.03,0.1
275,NC_014328.1.region002,19021.0,2.396614268440145,1.8882828417303144,0.0,1.0,2.0,3.0,12.0,16060,19019,16058,sample_2,0_1GB,NC_014328_1,region002,Genome1,0.2041241841795875,4630065,945108.2408234618,26242589.848935165,5.667866401213625,0.03,0.1
291,NC_014328.1.region002,19021.0,3.3431470479995795,2.080065102739913,0.0,2.0,3.0,4.0,16.0,18243,19019,18241,sample_4,0_1GB,NC_014328_1,region002,Genome1,0.3052909686,4630065,1413517.028530959,39603458.22508357,8.553542601471808,0.03,0.1
307,NC_014328.1.region002,19021.0,1.3403606540139843,1.2336950287955526,0.0,0.0,1.0,2.0,10.0,13594,19019,13592,sample_1,0_1GB,NC_014328_1,region002,Genome1,0.1071690597107169,4630065,496199.71244950045,14985305.983080372,3.2365217298418862,0.03,0.1
240,NC_014328.1.region003,20732.0,2.148514373914721,1.5978031720884494,0.0,1.0,2.0,3.0,12.0,18252,20725,18245,sample_3,0_1GB,NC_014328_1,region003,Genome1,0.1671582227,4630065,773953.4363854754,24526475.79693054,5.29722062150975,0.03,0.1
256,NC_014328.1.region003,20732.0,1.824667181169207,1.4629287055914253,0.0,1.0,2.0,3.0,12.0,16891,20725,16884,sample_0,0_1GB,NC_014328_1,region003,Genome1,0.1427720113857227,4630065,661043.6928966362,20039381.78324297,4.328099450708138,0.03,0.1
272,NC_014328.1.region003,20732.0,2.4789214740497783,1.7508969935163057,0.0,1.0,2.0,3.0,12.0,19039,20725,19032,sample_2,0_1GB,NC_014328_1,region003,Genome1,0.2041241841795875,4630065,945108.2408234618,26242589.848935165,5.667866401213625,0.03,0.1
288,NC_014328.1.region003,20732.0,3.73552961605248,2.2213277319676945,0.0,2.0,3.0,5.0,16.0,20101,20725,20094,sample_4,0_1GB,NC_014328_1,region003,Genome1,0.3052909686,4630065,1413517.028530959,39603458.22508357,8.553542601471808,0.03,0.1
