,Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,quantification,Breadth,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,err_type,err_profile,fragment_size,readsGB
724,NC_014328.1.region001,18132.0,2.4934921685418043,2.034073980062662,0.0,1.0,2.0,3.0,86.0,16510.0,18086.0,16464.0,sample_3,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1979429011,4630065,916488.4983815716,27291715.106320336,5.894456148309006,wgsim,0.03,270,0.1
727,NC_014328.1.region001,,5.254723271838186,,,,5.0,,,,,,sample_3,0_1GB,mapping(filtered),0.991405905685324,NC_014328_1,region001,Genome1,0.1979429011,4630065,916488.4983815716,27291715.106320336,5.894456148309006,wgsim,0.03,270,0.1
732,NC_014328.1.region001,,5.254723271838186,,,,5.0,,,,,,sample_3,0_1GB,mapping(unfiltered),0.991405905685324,NC_014328_1,region001,Genome1,0.1979429011,4630065,916488.4983815716,27291715.106320336,5.894456148309006,wgsim,0.03,270,0.1
772,NC_014328.1.region001,18132.0,1.379053606882859,1.382098422237212,0.0,0.0,1.0,2.0,53.0,13190.0,18086.0,13165.0,sample_0,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1077628232107762,4630065,498948.87604940246,16808000.20306494,3.6301866611084166,wgsim,0.03,270,0.1
775,NC_014328.1.region001,,3.0634572005223792,,,,3.0,,,,,,sample_0,0_1GB,mapping(filtered),0.9280520052886734,NC_014328_1,region001,Genome1,0.1077628232107762,4630065,498948.87604940246,16808000.20306494,3.6301866611084166,wgsim,0.03,270,0.1
780,NC_014328.1.region001,,3.0634572005223792,,,,3.0,,,,,,sample_0,0_1GB,mapping(unfiltered),0.9280520052886734,NC_014328_1,region001,Genome1,0.1077628232107762,4630065,498948.87604940246,16808000.20306494,3.6301866611084166,wgsim,0.03,270,0.1
820,NC_014328.1.region001,18132.0,1.56982131039047,1.552078073808839,0.0,1.0,1.0,2.0,52.0,13859.0,18086.0,13850.0,sample_2,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1353464745,4630065,626662.9744558425,17859623.720626097,3.8573159816603217,wgsim,0.03,270,0.1
823,NC_014328.1.region001,,3.62214504356016,,,,3.0,,,,,,sample_2,0_1GB,mapping(filtered),0.9358748347289556,NC_014328_1,region001,Genome1,0.1353464745,4630065,626662.9744558425,17859623.720626097,3.8573159816603217,wgsim,0.03,270,0.1
828,NC_014328.1.region001,,3.62214504356016,,,,3.0,,,,,,sample_2,0_1GB,mapping(unfiltered),0.9358748347289556,NC_014328_1,region001,Genome1,0.1353464745,4630065,626662.9744558425,17859623.720626097,3.8573159816603217,wgsim,0.03,270,0.1
868,NC_014328.1.region001,18132.0,1.8887050518420472,1.7324393600221892,0.0,1.0,2.0,3.0,61.0,15153.0,18086.0,15107.0,sample_4,0_1GB,kmerCount,,NC_014328_1,region001,Genome1,0.1552219826,4630065,718687.868866869,23014173.72305568,4.970594089511849,wgsim,0.03,270,0.1
